id;create_date;finish_date;active;same_county;unit_type
1;2019-12-07;2019-12-06;true;false;TECHNICAL
2;2019-12-07;2019-12-07;true;false;TECHNICAL
3;2019-12-06;2019-12-06;true;true;SUPPORT
4;2019-12-07;2019-12-06;false;true;OPERATION
5;2019-12-06;2019-12-07;false;false;TECHNICAL
6;2019-12-07;2019-12-07;true;true;SUPPORT
7;2019-12-06;2019-12-07;false;true;TECHNICAL
8;2019-12-06;2019-12-06;true;true;TECHNICAL
9;2019-12-07;2019-12-06;false;true;OPERATION
10;2019-12-07;2019-12-07;true;true;TECHNICAL
